region,vaccine,year,coverage
LACR,ROTAC,2016,76
LACR,YFV,2016,53
LACR,BCG,2017,94
LACR,DTP1,2017,93
LACR,DTP3,2017,85
LACR,HEPB3,2017,79
LACR,HEPBB,2017,52
LACR,HIB3,2017,83
LACR,IPV1,2017,90
LACR,MCV1,2017,86
LACR,MCV2,2017,66
LACR,PCV3,2017,78
LACR,POL3,2017,85
LACR,RCV1,2017,86
LACR,ROTAC,2017,72
LACR,YFV,2017,54
LACR,BCG,2018,95
LACR,DTP1,2018,90
LACR,DTP3,2018,86
LACR,HEPB3,2018,79
LACR,HEPBB,2018,54
LACR,HIB3,2018,85
LACR,IPV1,2018,87
LACR,MCV1,2018,91
LACR,MCV2,2018,80
LACR,PCV3,2018,78
LACR,POL3,2018,85
LACR,RCV1,2018,91
LACR,ROTAC,2018,73
LACR,YFV,2018,56
LACR,BCG,2019,85
LACR,DTP1,2019,86
LACR,DTP3,2019,80
LACR,HEPB3,2019,75
LACR,HEPBB,2019,52
LACR,HIB3,2019,80
LACR,IPV1,2019,86
LACR,MCV1,2019,86
LACR,MCV2,2019,63
LACR,PCV3,2019,77
LACR,POL3,2019,84
LACR,RCV1,2019,86
LACR,ROTAC,2019,73
LACR,YFV,2019,61
LACR,BCG,2020,70
LACR,DTP1,2020,85
LACR,DTP3,2020,76
LACR,HEPB3,2020,77
LACR,HEPBB,2020,58
LACR,HIB3,2020,76
LACR,IPV1,2020,82
LACR,MCV1,2020,83
LACR,MCV2,2020,63
LACR,PCV3,2020,74
LACR,POL3,2020,75
LACR,RCV1,2020,83
LACR,ROTAC,2020,69
LACR,YFV,2020,58
LACR,BCG,2021,83
LACR,DTP1,2021,82
LACR,DTP3,2021,75
LACR,HEPB3,2021,76
LACR,HEPBB,2021,58
LACR,HIB3,2021,75
LACR,IPV1,2021,79
LACR,IPV2,2021,62
LACR,MCV1,2021,83
LACR,MCV2,2021,69
LACR,PCV3,2021,71
LACR,POL3,2021,74
LACR,RCV1,2021,83
LACR,ROTAC,2021,68
LACR,YFV,2021,58
LACR,BCG,2022,87
LACR,DTP1,2022,87
LACR,DTP3,2022,79
LACR,HEPB3,2022,79
LACR,HEPBB,2022,64
LACR,HIB3,2022,79
LACR,IPV1,2022,82
LACR,IPV2,2022,70
LACR,MCV1,2022,81
LACR,MCV2,2022,69
LACR,PCV3,2022,73
LACR,POL3,2022,78
LACR,RCV1,2022,81
LACR,ROTAC,2022,73
LACR,YFV,2022,56
LACR,BCG,2023,83
LACR,DTP1,2023,89
LACR,DTP3,2023,83
LACR,HEPB3,2023,83
LACR,HEPBB,2023,62
LACR,HIB3,2023,82
LACR,IPV1,2023,84
LACR,IPV2,2023,75
LACR,MCV1,2023,82
LACR,MCV2,2023,67
LACR,PCV3,2023,73
LACR,POL3,2023,81
LACR,RCV1,2023,82
LACR,ROTAC,2023,74
LACR,YFV,2023,63
MENA,BCG,2000,88
MENA,DTP1,2000,92
MENA,DTP3,2000,86
MENA,HEPB3,2000,61
MENA,HEPBB,2000,15
MENA,HIB3,2000,1
MENA,MCV1,2000,85
MENA,MCV2,2000,50
MENA,POL3,2000,87
MENA,RCV1,2000,37
MENA,YFV,2000,0
MENA,BCG,2001,89
MENA,DTP1,2001,92
MENA,DTP3,2001,87
MENA,HEPB3,2001,64
MENA,HEPBB,2001,19
MENA,HIB3,2001,7
MENA,MCV1,2001,85
MENA,MCV2,2001,60
MENA,POL3,2001,87
MENA,RCV1,2001,42
MENA,YFV,2001,0
MENA,BCG,2002,88
MENA,DTP1,2002,90
MENA,DTP3,2002,85
MENA,HEPB3,2002,65
MENA,HEPBB,2002,20
MENA,HIB3,2002,13
MENA,MCV1,2002,84
MENA,MCV2,2002,60
MENA,POL3,2002,85
MENA,RCV1,2002,41
MENA,YFV,2002,0
MENA,BCG,2003,88
MENA,DTP1,2003,92
MENA,DTP3,2003,86
MENA,HEPB3,2003,65
MENA,HEPBB,2003,19
MENA,HIB3,2003,15
MENA,MCV1,2003,84
MENA,MCV2,2003,60
MENA,POL3,2003,85
MENA,RCV1,2003,41
MENA,YFV,2003,0
MENA,BCG,2004,88
MENA,DTP1,2004,93
MENA,DTP3,2004,87
MENA,HEPB3,2004,71
MENA,HEPBB,2004,35
MENA,HIB3,2004,15
MENA,MCV1,2004,85
MENA,MCV2,2004,66
MENA,POL3,2004,87
MENA,RCV1,2004,58
MENA,YFV,2004,0
MENA,BCG,2005,90
MENA,DTP1,2005,93
MENA,DTP3,2005,88
MENA,HEPB3,2005,78
MENA,HEPBB,2005,35
MENA,HIB3,2005,18
MENA,MCV1,2005,85
MENA,MCV2,2005,69
MENA,POL3,2005,88
MENA,RCV1,2005,59
MENA,YFV,2005,0
MENA,BCG,2006,91
MENA,DTP1,2006,93
MENA,DTP3,2006,88
MENA,HEPB3,2006,84
MENA,HEPBB,2006,35
MENA,HIB3,2006,19
MENA,MCV1,2006,86
MENA,MCV2,2006,70
MENA,POL3,2006,88
MENA,RCV1,2006,59
MENA,ROTAC,2006,0
MENA,YFV,2006,0
MENA,BCG,2007,92
MENA,DTP1,2007,93
MENA,DTP3,2007,89
MENA,HEPB3,2007,87
MENA,HEPBB,2007,37
MENA,HIB3,2007,28
MENA,MCV1,2007,87
MENA,MCV2,2007,71
MENA,POL3,2007,90
MENA,RCV1,2007,60
MENA,ROTAC,2007,0
MENA,YFV,2007,0
MENA,BCG,2008,92
MENA,DTP1,2008,95
MENA,DTP3,2008,90
MENA,HEPB3,2008,89
MENA,HEPBB,2008,37
MENA,HIB3,2008,48
MENA,MCV1,2008,87
MENA,MCV2,2008,67
MENA,PCV3,2008,1
MENA,POL3,2008,90
MENA,RCV1,2008,55
MENA,ROTAC,2008,0
MENA,YFV,2008,0
MENA,BCG,2009,92
MENA,DTP1,2009,94
MENA,DTP3,2009,90
MENA,HEPB3,2009,89
MENA,HEPBB,2009,35
MENA,HIB3,2009,47
MENA,MCV1,2009,89
MENA,MCV2,2009,69
MENA,PCV3,2009,6
MENA,POL3,2009,90
MENA,RCV1,2009,57
MENA,ROTAC,2009,0
MENA,YFV,2009,0
MENA,BCG,2010,93
MENA,DTP1,2010,95
MENA,DTP3,2010,91
MENA,HEPB3,2010,89
MENA,HEPBB,2010,33
MENA,HIB3,2010,47
MENA,MCV1,2010,90
MENA,MCV2,2010,68
MENA,PCV3,2010,7
MENA,POL3,2010,92
MENA,RCV1,2010,56
MENA,ROTAC,2010,0
MENA,YFV,2010,0
MENA,BCG,2011,93
MENA,DTP1,2011,95
MENA,DTP3,2011,91
MENA,HEPB3,2011,90
MENA,HEPBB,2011,34
MENA,HIB3,2011,48
MENA,MCV1,2011,90
MENA,MCV2,2011,71
MENA,PCV3,2011,12
MENA,POL3,2011,90
MENA,RCV1,2011,58
MENA,ROTAC,2011,9
MENA,YFV,2011,0
MENA,BCG,2012,93
MENA,DTP1,2012,93
MENA,DTP3,2012,88
MENA,HEPB3,2012,87
MENA,HEPBB,2012,35
MENA,HIB3,2012,51
MENA,MCV1,2012,88
MENA,MCV2,2012,70
MENA,PCV3,2012,17
MENA,POL3,2012,89
MENA,RCV1,2012,58
MENA,ROTAC,2012,19
MENA,YFV,2012,0
MENA,BCG,2013,94
MENA,DTP1,2013,93
MENA,DTP3,2013,90
MENA,HEPB3,2013,91
MENA,HEPBB,2013,36
MENA,HIB3,2013,54
MENA,MCV1,2013,89
MENA,MCV2,2013,75
MENA,PCV3,2013,23
MENA,POL3,2013,90
MENA,RCV1,2013,58
MENA,ROTAC,2013,29
MENA,YFV,2013,0
MENA,BCG,2014,94
MENA,DTP1,2014,93
MENA,DTP3,2014,90
MENA,HEPB3,2014,89
MENA,HEPBB,2014,37
MENA,HIB3,2014,76
MENA,MCV1,2014,88
MENA,MCV2,2014,79
MENA,PCV3,2014,31
MENA,POL3,2014,90
MENA,RCV1,2014,64
MENA,ROTAC,2014,29
MENA,YFV,2014,0
MENA,BCG,2015,90
MENA,DTP1,2015,92
MENA,DTP3,2015,88
MENA,HEPB3,2015,88
MENA,HEPBB,2015,37
MENA,HIB3,2015,88
MENA,IPV1,2015,30
MENA,MCV1,2015,88
MENA,MCV2,2015,83
MENA,PCV3,2015,32
MENA,POL3,2015,88
MENA,RCV1,2015,70
MENA,ROTAC,2015,32
MENA,YFV,2015,0
MENA,BCG,2016,93
MENA,DTP1,2016,91
MENA,DTP3,2016,89
MENA,HEPB3,2016,89
MENA,HEPBB,2016,38
MENA,HIB3,2016,89
MENA,IPV1,2016,48
MENA,MCV1,2016,89
MENA,MCV2,2016,85
MENA,MENGA,2016,41
MENA,PCV3,2016,38
MENA,POL3,2016,89
MENA,RCV1,2016,70
MENA,ROTAC,2016,36
MENA,YFV,2016,0
MENA,BCG,2017,90
MENA,DTP1,2017,92
MENA,DTP3,2017,89
MENA,HEPB3,2017,89
MENA,HEPBB,2017,57
MENA,HIB3,2017,89
MENA,IPV1,2017,39
MENA,MCV1,2017,89
MENA,MCV2,2017,85
MENA,MENGA,2017,82
MENA,PCV3,2017,45
MENA,POL3,2017,89
MENA,RCV1,2017,78
MENA,ROTAC,2017,39
MENA,YFV,2017,0
MENA,BCG,2018,90
MENA,DTP1,2018,92
MENA,DTP3,2018,89
MENA,HEPB3,2018,89
MENA,HEPBB,2018,57
MENA,HIB3,2018,89
MENA,IPV1,2018,60
MENA,MCV1,2018,87
MENA,MCV2,2018,83
MENA,MENGA,2018,84
MENA,PCV3,2018,45
MENA,POL3,2018,87
MENA,RCV1,2018,75
MENA,ROTAC,2018,40
MENA,YFV,2018,0
MENA,BCG,2019,89
MENA,DTP1,2019,92
MENA,DTP3,2019,89
MENA,HEPB3,2019,89
MENA,HEPBB,2019,57
MENA,HIB3,2019,89
MENA,IPV1,2019,90
MENA,MCV1,2019,87
MENA,MCV2,2019,83
MENA,MENGA,2019,86
MENA,PCV3,2019,46
MENA,POL3,2019,89
MENA,RCV1,2019,75
MENA,ROTAC,2019,36
MENA,YFV,2019,0
MENA,BCG,2020,90
MENA,DTP1,2020,91
MENA,DTP3,2020,85
MENA,HEPB3,2020,85
MENA,HEPBB,2020,55
MENA,HIB3,2020,85
MENA,IPV1,2020,87
MENA,MCV1,2020,86
MENA,MCV2,2020,82
MENA,MENGA,2020,84
MENA,PCV3,2020,43
MENA,POL3,2020,86
MENA,RCV1,2020,74
MENA,ROTAC,2020,39
MENA,YFV,2020,0
MENA,BCG,2021,88
MENA,DTP1,2021,90
MENA,DTP3,2021,85
MENA,HEPB3,2021,85
MENA,HEPBB,2021,55
MENA,HIB3,2021,85
MENA,IPV1,2021,88
MENA,IPV2,2021,56
MENA,MCV1,2021,85
MENA,MCV2,2021,81
MENA,MENGA,2021,80
MENA,PCV3,2021,42
MENA,POL3,2021,85
MENA,RCV1,2021,73
MENA,ROTAC,2021,38
MENA,YFV,2021,39
MENA,BCG,2022,87
MENA,DTP1,2022,89
MENA,DTP3,2022,84
MENA,HEPB3,2022,84
MENA,HEPBB,2022,55
MENA,HIB3,2022,84
MENA,IPV1,2022,87
MENA,IPV2,2022,64
MENA,MCV1,2022,83
MENA,MCV2,2022,80
MENA,MENGA,2022,66
MENA,PCV3,2022,39
MENA,POL3,2022,84
MENA,RCV1,2022,74
MENA,ROTAC,2022,35
MENA,YFV,2022,45
MENA,BCG,2023,83
MENA,DTP1,2023,85
MENA,DTP3,2023,81
MENA,HEPB3,2023,81
MENA,HEPBB,2023,55
MENA,HIB3,2023,81
MENA,IPV1,2023,84
MENA,IPV2,2023,70
MENA,MCV1,2023,83
MENA,MCV2,2023,79
MENA,MENGA,2023,51
MENA,PCV3,2023,38
MENA,POL3,2023,81
MENA,RCV1,2023,75
MENA,ROTAC,2023,32
MENA,YFV,2023,50
Non-programme,BCG,2000,86
Non-programme,DTP1,2000,97
Non-programme,DTP3,2000,92
Non-programme,HEPB3,2000,56
Non-programme,HEPBB,2000,6
Non-programme,HIB3,2000,75
Non-programme,MCV1,2000,91
Non-programme,MCV2,2000,44
Non-programme,POL3,2000,93
Non-programme,RCV1,2000,91
Non-programme,BCG,2001,86
Non-programme,DTP1,2001,98
Non-programme,DTP3,2001,94
Non-programme,HEPB3,2001,59
Non-programme,HEPBB,2001,6
Non-programme,HIB3,2001,76
Non-programme,MCV1,2001,91
Non-programme,MCV2,2001,47
Non-programme,POL3,2001,91
Non-programme,RCV1,2001,91
Non-programme,BCG,2002,86
Non-programme,DTP1,2002,97
Non-programme,DTP3,2002,94
Non-programme,HEPB3,2002,60
Non-programme,HEPBB,2002,14
Non-programme,HIB3,2002,78
Non-programme,MCV1,2002,91
Non-programme,MCV2,2002,55
Non-programme,POL3,2002,92
Non-programme,RCV1,2002,91
Non-programme,BCG,2003,85
Non-programme,DTP1,2003,98
Non-programme,DTP3,2003,96
Non-programme,HEPB3,2003,62
Non-programme,HEPBB,2003,20
Non-programme,HIB3,2003,80
Non-programme,MCV1,2003,92
Non-programme,MCV2,2003,55
Non-programme,POL3,2003,94
Non-programme,RCV1,2003,92
Non-programme,BCG,2004,84
Non-programme,DTP1,2004,98
Non-programme,DTP3,2004,96
Non-programme,HEPB3,2004,64
Non-programme,HEPBB,2004,24
Non-programme,HIB3,2004,81
Non-programme,MCV1,2004,92
Non-programme,MCV2,2004,61
Non-programme,POL3,2004,94
Non-programme,RCV1,2004,92
Non-programme,BCG,2005,83
Non-programme,DTP1,2005,98
Non-programme,DTP3,2005,96
Non-programme,HEPB3,2005,65
Non-programme,HEPBB,2005,25
Non-programme,HIB3,2005,82
Non-programme,MCV1,2005,92
Non-programme,MCV2,2005,62
Non-programme,POL3,2005,94
Non-programme,RCV1,2005,92
Non-programme,BCG,2006,84
Non-programme,DTP1,2006,98
Non-programme,DTP3,2006,96
Non-programme,HEPB3,2006,65
Non-programme,HEPBB,2006,25
Non-programme,HIB3,2006,83
Non-programme,MCV1,2006,93
Non-programme,MCV2,2006,63
Non-programme,POL3,2006,95
Non-programme,RCV1,2006,93
Non-programme,ROTAC,2006,0
Non-programme,BCG,2007,86
Non-programme,DTP1,2007,98
Non-programme,DTP3,2007,96
Non-programme,HEPB3,2007,65
Non-programme,HEPBB,2007,26
Non-programme,HIB3,2007,85
Non-programme,MCV1,2007,93
Non-programme,MCV2,2007,64
Non-programme,POL3,2007,95
Non-programme,RCV1,2007,93
Non-programme,ROTAC,2007,0
Non-programme,BCG,2008,87
Non-programme,DTP1,2008,98
Non-programme,DTP3,2008,96
Non-programme,HEPB3,2008,66
Non-programme,HEPBB,2008,27
Non-programme,HIB3,2008,84
Non-programme,MCV1,2008,93
Non-programme,MCV2,2008,71
Non-programme,PCV3,2008,47
Non-programme,POL3,2008,95
Non-programme,RCV1,2008,93
Non-programme,ROTAC,2008,2
Non-programme,BCG,2009,89
Non-programme,DTP1,2009,98
Non-programme,DTP3,2009,95
Non-programme,HEPB3,2009,66
Non-programme,HEPBB,2009,29
Non-programme,HIB3,2009,82
Non-programme,MCV1,2009,92
Non-programme,MCV2,2009,73
Non-programme,PCV3,2009,51
Non-programme,POL3,2009,95
Non-programme,RCV1,2009,92
Non-programme,ROTAC,2009,19
Non-programme,BCG,2010,91
Non-programme,DTP1,2010,98
Non-programme,DTP3,2010,96
Non-programme,HEPB3,2010,68
Non-programme,HEPBB,2010,29
Non-programme,HIB3,2010,84
Non-programme,MCV1,2010,93
Non-programme,MCV2,2010,79
Non-programme,PCV3,2010,66
Non-programme,POL3,2010,95
Non-programme,RCV1,2010,93
Non-programme,ROTAC,2010,25
Non-programme,BCG,2011,88
Non-programme,DTP1,2011,98
Non-programme,DTP3,2011,96
Non-programme,HEPB3,2011,69
Non-programme,HEPBB,2011,31
Non-programme,HIB3,2011,95
Non-programme,MCV1,2011,93
Non-programme,MCV2,2011,80
Non-programme,PCV3,2011,79
Non-programme,POL3,2011,95
Non-programme,RCV1,2011,93
Non-programme,ROTAC,2011,28
Non-programme,BCG,2012,89
Non-programme,DTP1,2012,98
Non-programme,DTP3,2012,95
Non-programme,HEPB3,2012,69
Non-programme,HEPBB,2012,32
Non-programme,HIB3,2012,95
Non-programme,MCV1,2012,93
Non-programme,MCV2,2012,84
Non-programme,PCV3,2012,80
Non-programme,POL3,2012,95
Non-programme,RCV1,2012,93
Non-programme,ROTAC,2012,31
Non-programme,BCG,2013,86
Non-programme,DTP1,2013,98
Non-programme,DTP3,2013,95
Non-programme,HEPB3,2013,70
Non-programme,HEPBB,2013,33
Non-programme,HIB3,2013,95
Non-programme,MCV1,2013,93
Non-programme,MCV2,2013,89
Non-programme,PCV3,2013,81
Non-programme,POL3,2013,95
Non-programme,RCV1,2013,93
Non-programme,ROTAC,2013,32
Non-programme,BCG,2014,86
Non-programme,DTP1,2014,98
Non-programme,DTP3,2014,95
Non-programme,HEPB3,2014,72
Non-programme,HEPBB,2014,33
Non-programme,HIB3,2014,95
Non-programme,MCV1,2014,94
Non-programme,MCV2,2014,89
Non-programme,PCV3,2014,81
Non-programme,POL3,2014,95
Non-programme,RCV1,2014,94
Non-programme,ROTAC,2014,37
Non-programme,BCG,2015,78
Non-programme,DTP1,2015,98
Non-programme,DTP3,2015,95
Non-programme,HEPB3,2015,72
Non-programme,HEPBB,2015,33
Non-programme,HIB3,2015,94
Non-programme,IPV1,2015,95
Non-programme,MCV1,2015,93
Non-programme,MCV2,2015,90
Non-programme,PCV3,2015,82
Non-programme,POL3,2015,94
Non-programme,RCV1,2015,93
Non-programme,ROTAC,2015,44
Non-programme,BCG,2016,86
Non-programme,DTP1,2016,98
Non-programme,DTP3,2016,95
Non-programme,HEPB3,2016,73
Non-programme,HEPBB,2016,30
Non-programme,HIB3,2016,94
Non-programme,IPV1,2016,94
Non-programme,MCV1,2016,93
Non-programme,MCV2,2016,91
Non-programme,PCV3,2016,83
Non-programme,POL3,2016,94
Non-programme,RCV1,2016,93
Non-programme,ROTAC,2016,45
Non-programme,BCG,2017,85
Non-programme,DTP1,2017,98
Non-programme,DTP3,2017,95
Non-programme,HEPB3,2017,73
Non-programme,HEPBB,2017,30
Non-programme,HIB3,2017,94
Non-programme,IPV1,2017,99
Non-programme,MCV1,2017,93
Non-programme,MCV2,2017,91
Non-programme,PCV3,2017,86
